GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Calculator with Cucumber tests,calculator,Divides,0,25,0,0,0,9,0,3,0,3
Calculator with Cucumber tests,calculator,Times,0,25,0,0,0,9,0,3,0,3
Calculator with Cucumber tests,calculator,And,6,11,3,1,1,4,3,2,1,2
Calculator with Cucumber tests,calculator,Memory,32,537,8,56,13,125,8,47,0,19
Calculator with Cucumber tests,calculator,Implies,17,7,5,0,5,3,5,1,2,1
Calculator with Cucumber tests,calculator,Xor,18,0,2,0,5,0,4,0,3,0
Calculator with Cucumber tests,calculator,Equivalence,13,0,2,0,4,0,4,0,3,0
Calculator with Cucumber tests,calculator,Plus,2,25,0,0,1,9,1,3,1,3
Calculator with Cucumber tests,calculator,Not,14,14,4,2,2,4,4,3,2,2
Calculator with Cucumber tests,calculator,MyNumber,2,52,1,7,0,17,1,12,0,9
Calculator with Cucumber tests,calculator,BooleanOperation,0,4,0,0,0,2,0,1,0,1
Calculator with Cucumber tests,calculator,IllegalConstruction,0,3,0,0,0,1,0,1,0,1
Calculator with Cucumber tests,calculator,Operation,6,137,0,10,2,38,1,15,1,10
Calculator with Cucumber tests,calculator,Or,11,7,2,0,2,3,3,1,2,1
Calculator with Cucumber tests,calculator,Minus,0,25,0,0,0,9,0,3,0,3
Calculator with Cucumber tests,calculator,Notation,0,34,0,0,0,1,0,1,0,1
Calculator with Cucumber tests,calculator,MyBoolean,0,8,0,2,0,2,0,2,0,1
Calculator with Cucumber tests,calculator,Calculator,72,45,0,0,12,16,2,4,2,4
Calculator with Cucumber tests,visitor,Evaluator,0,82,0,6,0,20,0,8,0,5
Calculator with Cucumber tests,visitor,Visitor,0,3,0,0,0,1,0,1,0,1
Calculator with Cucumber tests,visitor,Printer,0,163,0,12,0,36,0,11,0,5
Calculator with Cucumber tests,visitor,Counter,1,69,0,11,1,21,1,10,1,4
